Título,Ofertas,Serie,Pantalla_Tamaño (pulgadas),Pantalla_Diagonal (cm),Pantalla_Tecnología,Pantalla_Luminosidad (cd/m²),Procesador,Disco_Duro_Tipo,Gráfica_Salida,Gráfica_Resolución externa,Conectividad_Lector de tarjetas,Comunicaciones_Conectividad,Comunicaciones_Versión Bluetooth,Cámara_Webcam,Cámara_Función de la cámara,Cámara_Resolución de la cámara,Teclado_Tipo de teclado,Teclado_Número de teclas,Teclado_Teclas adicionales,Sonido_Número de altavoces,Alimentación_Batería,Alimentación_Autonomía de la batería,Alimentación_Vatios-hora,Alimentación_Alimentación,Medidas y peso_Material de la carcasa,Medidas y peso_Diseño,Medidas y peso_Profundidad,Medidas y peso_Altura,Medidas y peso_Ancho,Medidas y peso_Peso,Otras características_Equipamiento,Otras características_Seguridad integrada,Otras características_Sensor,Otras características_Fecha de lanzamiento,Comunicaciones_Estándar wifi,Pantalla_Resolución de pantalla,Pantalla_Densidad de píxeles,Pantalla_Tasa de actualización de imagen,Procesador_Fabricante del procesador,Procesador_Tipo de procesador,Disco duro_Número de discos duros (instalados),Gráfica_Fabricante de la tarjeta gráfica,Gráfica_Memoria gráfica,Sistema operativo_Sistema operativo,Conectividad_Tipo de tarjetas compatibles,Sonido_Sistema de altavoces,Pantalla_Formato de imagen,Procesador_Nombre en clave del procesador,Procesador_Nivel de caché,Procesador_Caché,RAM_Memoria RAM,RAM_Tipo de RAM,RAM_Frecuencia de la memoria,Disco duro_Capacidad de memoria SSD,Teclado_Característica del teclado,Sonido_Potencia de altavoces,Alimentación_Número de celdas,Medidas y peso_Color,Otras características_Portátil configurable,Procesador_Número de núcleos del procesador,Procesador_Frecuencia de reloj,Procesador_Frecuencia turbo máx.,Procesador_Potencia máx. de diseño térmico (TDP),Gráfica_Tipo de memoria gráfica,Sistema operativo_Arquitectura bit,Pantalla_Tiempo de reacción,RAM_Extensión de memoria máxima,Gráfica_Tarjeta gráfica,Comunicaciones_Transmisión de datos,Almacenamiento_Lector óptico,Alimentación_Voltaje de salida,Alimentación_Intensidad de corriente,Otras características_Características especiales,Pantalla_Pantalla,Comunicaciones_Estándar LAN,Sonido_Modo de sonido HDMI,Alimentación_Capacidad de la batería,Otras características_Certificación,IA_Característica IA,RAM_Número de ranuras de memoria RAM,RAM_Ranura de memoria RAM instaladas,RAM_Configuración de memoria RAM,Procesador_Chipset,Otras características_Software incluido,Gráfica_GPU,Pantalla_Propiedades de la pantalla,IA_Función IA,IA_Procesador IA,Disco duro_Capacidad del disco duro,Otras características_Localización,Conectividad_Conexión,Otras características_Expansión de hardware,Otras características_Artículo incluido,Otras características_Características de la carcasa,Otras características_Certificado,Gráfica_Característica de la tarjeta gráfica,Tipo,Conectividad_Conexión frontal,Propiedades de la carcasa_Tipo de caja,Propiedades de la carcasa_Color,Medidas y peso_Alto,Propiedades de la carcasa_Material de la carcasa,Propiedades de la carcasa_Alimentación,Adecuado para,Procesador_Frecuencia del reloj,Procesador_Zócalo de CPU,Procesador_Número de hilos de ejecución,Procesador_TDP,Procesador_Chipset de la placa base,RAM_Número de ranuras para memoria RAM,Gráfica_Número de ranuras para PCIe,"Propiedades de la carcasa_Bahía interna de 2,5""","Propiedades de la carcasa_Bahía interna de 3,5""",Disco duro_Capacidad disco duro (TB),"Propiedades de la carcasa_Bahía externa de 5,25""",Otras características_Modo de sonido,Propiedades de la carcasa_Superficie del material,Disco duro_Capacidad disco duro (GB),"Propiedades de la carcasa_Bahía externa de 3,5""",Procesador_Procesadores compatibles,Precio_Min,Precio_Max,Precio_Mean,Categoria_General
"ASUS Vivobook 15 OLED F1505
F1505VA-MA596W",3.0,ASUS Vivobook,15.6,39.624,2.8K,,Intel Core i5-1335U,,HDMI,,,"wifi, Bluetooth",,integrada,,,,,,,,,50 Wh,,aluminio,con tapa,"22,7 cm",20 mm,"35,6 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,2023.0,IEEE 802.11ac,2.880 x 1.620 píxeles,,120 Hz,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,SonicMaster,,Raptor Lake,L3,12 MB,16 GB RAM,DDR4,,1.000 GB,,,3.0,plateado,,10.0,,"4,6 GHz",55 W,,64 Bit,,16 GB,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,1x SO-DIMM,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,779.0,1130.2,954.6,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504VA-NJ749W",15.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i7-1355U,,HDMI 1.4,,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Home,,SonicMaster,,Raptor Lake-U,L3,12 MB,16 GB RAM,DDR4,,512 GB,,,3.0,plateado,,10.0,"1,2 GHz",5 GHz,15 W,,64 Bit,,,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,1x SO-DIMM,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,616.4,805.0,710.7,Otro
Lenovo IdeaPad Flex 3 12 Chrome,1.0,Lenovo IdeaPad,12.2,30.988,WUXGA,300.0,,,HDMI,,integrado,"wifi, Bluetooth, NFC",Bluetooth 5.1,2.0 Mpx,,,,,,,polímero de litio,12 h,47 Wh,45 W,,convertible,21 cm,18 mm,"28,4 cm","1,25 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2023.0,,1.920 x 1.200 píxeles,,,Intel,,,Intel,memoria compartida,Chrome OS,MicroSD,,16:10,Alder Lake-N,L3,6 MB,8 GB RAM,LPDDR5,,128 GB,,,4.0,,,4.0,1 GHz,,15 W,,,,,Intel UHD Graphics,,ninguno,15 V,3 A,,,,,,,,,,,,,,convertible,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,409.0,409.0,409.0,Otro
ASUS Vivobook 15 F1502,17.0,ASUS Vivobook,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,530.02,763.2,646.61,Otro
"LG Gram 14Z90S
14Z90S-G.AA55B",4.0,LG Gram,14.0,35.56,WUXGA,350.0,Intel Core Ultra 5 125H,,HDMI,,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,80 teclas,teclado numérico,2.0,polímero de litio,"29,5 h",72 Wh,,aluminio,con tapa,"21,4 cm",17 mm,"31,2 cm","1,1 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","bloqueo Kensington, protección de disco duro, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,,Intel,Intel Core Ultra 5,1.0,Intel,memoria compartida,Windows 11 Home,,,16:10,Meteor Lake,L3,18 MB,16 GB RAM,LPDDR5,6.400 MHz,512 GB,teclado iluminado,"2 x 1,5 W",4.0,negro,,14.0,"3,6 GHz","4,5 GHz",28 W,,64 Bit,,,Intel Arc Graphics,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,HD Audio,9360 mAh,Certificación MIL-STD 810H,,1x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,organización de imágenes,,,,,disco duro,cable de alimentación,"resistente a la humedad, resistente a golpes",,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,949.0,999.0,974.0,Otro
"LG Gram 15 (2024)
15Z90S-G.AD78B",23.0,LG Gram,15.6,39.624,Full HD,350.0,Intel Core Ultra 7 155H,,,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,98 teclas,,2.0,polímero de litio,23 h,72 Wh,,aluminio,con tapa,"22,3 cm",17 mm,"35,6 cm","1,2 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","bloqueo Kensington, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Windows 11 Home,,,16:9,Meteor Lake,L3,24 MB,32 GB RAM,LPDDR5,6.400 MHz,1.000 GB,,"2 x 1,5 W",4.0,negro,,16.0,"3,8 GHz","4,8 GHz",28 W,,64 Bit,,,Intel Arc Graphics,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,HD Audio,9360 mAh,Certificación MIL-STD 810H,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1172.47,2548.66,1860.57,Otro
MSI Pulse 17 AI C1V,5.0,MSI Pulse,17.0,43.18,,,,PCIe SSD,HDMI,8K (8192 x 4608),ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,,,teclado gamer,,,2.0,,,90 Wh,240 W,,con tapa,"27,9 cm",22 mm,"38,3 cm","2,8 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","Trusted Platform Module (TPM 2.0), tapa webcam, bloqueo Kensington",,2024.0,IEEE 802.11ax,,,,Intel,,,NVIDIA,,,,altavoces estéreo,,,,,,DDR5,,1.000 GB,,2 x 2 W,4.0,negro,,,,,,GDDR6,,,,,,,,,,,Gigabit-LAN,HD Audio,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1699.0,2780.94,2239.97,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504ZA-NJ1314",1.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i7-1255U,,HDMI 1.4,,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i7,1.0,Intel,memoria compartida,sin sistema operativo,,SonicMaster,16:9,Alder Lake-P,L3,12 MB,16 GB RAM,DDR4,,1.000 GB,,,3.0,plateado,,10.0,"1,2 GHz","4,7 GHz",15 W,,,,16 GB,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,549.0,549.0,549.0,Otro
"MSI Creator Z17 HX Studio A14V
A14VGT-275ES",4.0,MSI Creator,17.0,43.18,QHD+,,Intel Core i9-14900HX,PCIe SSD,HDMI,8K (8192 x 4608),integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,30 fps,,,,,4.0,,,90 Wh,240 W,,con tapa,26 cm,19 mm,"38,2 cm","2,4 kg","micrófono integrado, USB-C, altavoces estéreo, lector de tarjetas, webcam","lector de huellas digitales, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11be,2.560 x 1.600 píxeles,,165 Hz,Intel,Intel Core i9,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Professional,SD,,,Raptor Lake,L3,36 MB,32 GB RAM,DDR5,5.600 MHz,1.000 GB,teclado iluminado,4 x 2 W,4.0,plateado,,24.0,"1,6 GHz","5,6 GHz",55 W,GDDR6,64 Bit,,96 GB,NVIDIA GeForce RTX 4060,ninguna,ninguno,,,teclado numérico,,,DTS-HD,,Certificación MIL-STD 810H,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,Intel HM770,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,3019.0,4364.63,3691.82,Otro
"MSI Pulse 17 AI C1V
C1VGKG-041XES",2.0,MSI Pulse,17.0,43.18,QHD+,,Intel Core Ultra 7 155H,,HDMI,8K (8192 x 4608),ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,,,teclado gamer,,,2.0,,,90 Wh,240 W,,con tapa,"27,9 cm",22 mm,"38,3 cm","2,8 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","Trusted Platform Module (TPM 2.0), tapa webcam, bloqueo Kensington",,2024.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,240 Hz,Intel,Intel Core Ultra 7,1.0,NVIDIA,8.192 MB / 8 GB,Free DOS,,altavoces estéreo,,Meteor Lake,L3,24 MB,16 GB RAM,DDR5,5.600 MHz,1.000 GB,teclado iluminado,2 x 2 W,4.0,negro,,16.0,"3,8 GHz","4,8 GHz",28 W,GDDR6,,,96 GB,NVIDIA GeForce RTX 4070,ninguna,ninguno,,,teclado numérico,IPS,Gigabit-LAN,HD Audio,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,Intel AI Boost,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1699.0,1948.98,1823.99,Otro
MSI Creator Z17 HX Studio A14V,6.0,MSI Creator,17.0,43.18,QHD+,,,PCIe SSD,HDMI,8K (8192 x 4608),integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,30 fps,,,,,4.0,,,90 Wh,240 W,,con tapa,26 cm,19 mm,"38,2 cm","2,4 kg","micrófono integrado, USB-C, altavoces estéreo, lector de tarjetas, webcam","Trusted Platform Module (TPM 2.0), lector de huellas digitales",,2024.0,IEEE 802.11be,,,165 Hz,Intel,,1.0,NVIDIA,8.192 MB / 8 GB,,SD,,,Raptor Lake,L3,,,DDR5,5.600 MHz,,teclado iluminado,4 x 2 W,4.0,plateado,,,,,55 W,GDDR6,,,96 GB,,ninguna,ninguno,,,teclado numérico,,,DTS-HD,,Certificación MIL-STD 810H,,2x SO-DIMM,2x SO-DIMM,,Intel HM770,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,2349.0,4364.63,3356.82,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504ZA-NJ1287W",1.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i5-1235U,,HDMI 1.4,,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,SonicMaster,16:9,Alder Lake-P,L3,12 MB,16 GB RAM,DDR4,,1.000 GB,,,3.0,plateado,,10.0,"0,9 GHz","4,4 GHz",15 W,,64 Bit,,,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,579.0,579.0,579.0,Otro
"Lenovo IdeaPad Flex 3 12 Chrome
82XH0011SP",1.0,Lenovo IdeaPad,12.2,30.988,,300.0,Intel Processor N100,SSD,HDMI,,integrado,"wifi, Bluetooth, NFC",Bluetooth 5.1,2.0 Mpx,,,,,,,polímero de litio,12 h,47 Wh,45 W,,convertible,21 cm,18 mm,"28,4 cm","1,25 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2023.0,,1.920 x 1.200 píxeles,,,Intel,,,Intel,memoria compartida,Chrome OS,MicroSD,,16:10,Alder Lake-N,L3,6 MB,8 GB RAM,LPDDR5,4.800 MHz,128 GB,,,4.0,gris,,4.0,1 GHz,"3,4 GHz",15 W,,,,,Intel UHD Graphics,ninguna,ninguno,15 V,3 A,,,,,,,,1x SO-DIMM,1x SO-DIMM,1 x 8 GB,,,,convertible,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,409.0,409.0,409.0,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504VA-NJ1712W",18.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i5-1334U,,HDMI 1.4,,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,SonicMaster,,Raptor Lake,L3,12 MB,16 GB RAM,DDR4,,512 GB,,,3.0,plateado,,10.0,,"4,6 GHz",55 W,,64 Bit,,,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,517.96,621.99,569.98,Otro
"Lenovo ThinkPad X1 Carbon Gen 12
21KC004NSP",16.0,Lenovo ThinkPad,14.0,35.56,WUXGA,400.0,Intel Core Ultra 7 155U,,,,ninguno,"wifi, Bluetooth, NFC",Bluetooth 5.3,"integrada, 8.0 Mpx",compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,57 Wh,65 W,,,"21,4 cm",15 mm,"31,2 cm","1,09 kg","micrófono integrado, USB-C, TrackPoint / TouchStick / Pointing Stick, altavoces estéreo, webcam","bloqueo Kensington, Trusted Platform Module (TPM 2.0), tecnología antirrobo Intel, tapa webcam, lector de huellas digitales, reconocimiento de rostro",,2024.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,60 Hz,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Windows 11 Professional,,,16:10,Meteor Lake,L3,12 MB,16 GB RAM,LPDDR5X,,512 GB,teclado iluminado,2 x 1 W,3.0,negro,,12.0,"3,8 GHz","4,8 GHz",9 W,,64 Bit,,,Intel Graphics,"LTE, 4G",ninguno,,,,,,,,,,,,,,"Lenovo Commercial Vantage, Lenovo View",,,,Intel AI Boost,,,,,cable de alimentación,,Epeat,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,2211.68,2891.28,2551.48,Otro
Lenovo IdeaPad Flex 5 13,1.0,Lenovo IdeaPad,13.3,33.78,Full HD,250.0,,,,,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,,,10 h,51 Wh,45 W,,con tapa,"21,2 cm",18 mm,31 cm,"1,35 kg",USB-C,,,2020.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,,,,,,Chrome OS,MicroSD,,16:9,,,,,,,,,,,,,,,,,,,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,383.99,383.99,383.99,Otro
"Lenovo ThinkPad X1 Carbon Gen 12
21KC0065SP",5.0,Lenovo ThinkPad,14.0,35.56,WUXGA,400.0,Intel Core Ultra 5 125U,,,,ninguno,"wifi, Bluetooth, NFC",Bluetooth 5.3,"integrada, 8.0 Mpx",compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,57 Wh,65 W,,,"21,4 cm",15 mm,"31,2 cm","1,09 kg","micrófono integrado, USB-C, TrackPoint / TouchStick / Pointing Stick, altavoces estéreo, webcam","bloqueo Kensington, Trusted Platform Module (TPM 2.0), tecnología antirrobo Intel, tapa webcam, lector de huellas digitales, reconocimiento de rostro",,2024.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,60 Hz,Intel,Intel Core Ultra 5,1.0,Intel,memoria compartida,Windows 11 Professional,,,16:10,Meteor Lake,L3,12 MB,16 GB RAM,LPDDR5X,6.400 MHz,512 GB,teclado iluminado,2 x 1 W,3.0,negro,,12.0,"3,6 GHz","4,3 GHz",15 W,,64 Bit,,,Intel Graphics,"LTE, 4G",ninguno,,,,,,,,,,,,,,"Lenovo Commercial Vantage, Lenovo View",,,,Intel AI Boost,,,,,cable de alimentación,,Epeat,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1818.94,2370.21,2094.57,Otro
"MSI Stealth 14 AI Studio A1V
A1VFG-033ES",8.0,MSI Stealth,14.0,35.56,2.8K,,Intel Core Ultra 7 155H,PCIe SSD,HDMI 2.1,,,"wifi, Bluetooth",Bluetooth 5.4,,,,,,,2.0,,,72 Wh,240 W,,,"24,6 cm",,"31,5 cm","1,7 kg","USB-C, altavoces estéreo",,,,IEEE 802.11be,2.880 x 1.800 píxeles,,120 Hz,Intel,Intel Core Ultra 7,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Home,,,,Meteor Lake,L3,24 MB,16 GB RAM,DDR5,5.600 MHz,1.000 GB,teclado iluminado,2 x 2 W,4.0,azul,,16.0,"3,8 GHz","4,8 GHz",28 W,GDDR6,64 Bit,,96 GB,NVIDIA GeForce RTX 4060,ninguna,ninguno,,,,,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1502.36,1750.04,1626.2,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504ZA-NJ790",7.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i3-1215U,,HDMI 1.4,,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i3,1.0,Intel,memoria compartida,Free DOS,,SonicMaster,,Alder Lake-P,L3,10 MB,8 GB RAM,DDR4,,512 GB,,,3.0,plateado,,6.0,"0,9 GHz","4,4 GHz",15 W,,,,16 GB,Intel UHD Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,1x SO-DIMM,0x SO-DIMM,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,414.29,527.71,471.0,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504ZA-NJ698",6.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i5-1235U,,HDMI 1.4,,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i5,1.0,Intel,memoria compartida,Free DOS,,SonicMaster,,Alder Lake-P,L3,12 MB,8 GB RAM,DDR4,,512 GB,,,3.0,plateado,,10.0,"0,9 GHz","4,4 GHz",15 W,,,,16 GB,Intel UHD Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,1x SO-DIMM,1x SO-DIMM,1 x 8 GB,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,429.95,569.99,499.97,Otro
ASUS BR1104F,17.0,,11.6,29.464,,250.0,,,HDMI 1.4,,ninguno,"LAN, Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,,teclado tipo chicle,,,,polímero de litio,,50 Wh,45 W,,con tapa,"21,3 cm",21 mm,"29,7 cm","1,47 kg","micrófono integrado, USB-C, webcam","bloqueo Kensington, contraseña BIOS, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,,,,,,,,,,,,16:9,,,,,,,,,,3.0,,sí,,,,,,,,,,,,20 V,"2,25 A",,,Gigabit-LAN,,,Certificación MIL-STD 810H,,,,,,Absolute Persistence,,,,,,,,,cable de alimentación,"resistente a golpes, resistente a salpicaduras",,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,297.28,487.91,392.6,Otro
"LG Gram 14Z90S
14Z90S-G.AD78B",26.0,LG Gram,14.0,35.56,WUXGA,350.0,Intel Core Ultra 7 155H,,HDMI,,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,80 teclas,teclado numérico,2.0,polímero de litio,"29,5 h",72 Wh,,aluminio,con tapa,"21,4 cm",17 mm,"31,2 cm","1,1 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","bloqueo Kensington, protección de disco duro, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Windows 11 Home,,,16:10,Meteor Lake,L3,24 MB,32 GB RAM,LPDDR5,6.400 MHz,1.000 GB,teclado iluminado,"2 x 1,5 W",4.0,negro,,16.0,"3,8 GHz","4,8 GHz",28 W,,64 Bit,,,Intel Arc Graphics,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,HD Audio,9360 mAh,Certificación MIL-STD 810H,,1x SO-DIMM,1x SO-DIMM,1 x 32 GB,,,,,organización de imágenes,,,,,disco duro,cable de alimentación,"resistente a la humedad, resistente a golpes",,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1314.68,2257.28,1785.98,Otro
MSI Summit E13 AI Evo A1M,26.0,MSI Summit,13.3,33.782,,,Intel Core Ultra 7 155H,,HDMI 2.1,4K (4096 x 2304),ninguno,"wifi, Bluetooth",Bluetooth 5.4,integrada,,,,,,2.0,,,70 Wh,,,con tapa,"22,2 cm",16 mm,30 cm,"1,3 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","lector de huellas digitales, tapa webcam, Trusted Platform Module (TPM 2.0), reconocimiento de rostro",,2024.0,IEEE 802.11be,,,,Intel,Intel Core Ultra 7,,Intel,memoria compartida,,,altavoces estéreo,16:9,Meteor Lake,L3,24 MB,,LPDDR5,,,,2 x 2 W,4.0,,,16.0,,"4,8 GHz",,,,,,Intel Arc Graphics,,,,,,táctil,,DTS-HD,,,,,,,,"MSI Center, MSI AI Engine",,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1376.32,1817.61,1596.96,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504ZA-NJ788W",7.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i3-1215U,PCIe SSD,HDMI 1.4,,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i3,1.0,Intel,memoria compartida,Windows 11 Home,,SonicMaster,16:9,Alder Lake-P,L3,10 MB,8 GB RAM,DDR4,,512 GB,,,3.0,plateado,,6.0,"0,9 GHz","4,4 GHz",15 W,,64 Bit,,16 GB,Intel UHD Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,1x SO-DIMM,0x SO-DIMM,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,413.99,757.94,585.97,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504VA-NJ1709W",19.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i5-1334U,,HDMI 1.4,,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,SonicMaster,,Raptor Lake,L3,12 MB,8 GB RAM,DDR4,,512 GB,,,3.0,plateado,,10.0,,"4,6 GHz",55 W,,64 Bit,,16 GB,Intel UHD Graphics,ninguna,ninguno,,,teclado numérico,retroiluminación LED,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,475.64,571.99,523.82,Otro
